español,tailandés,Add Reverse
el carrillón,กระดิ่งลม,y
el carrito,รถเข็น,y
el carterista,นักล้วงกระเป๋า,y
el cartucho,ปลอกกระสุนปืน,y
el cartílago,กระดูกอ่อน,y
el cartón,กระดาษลัง,y
el carámbano,แท่งน้ำแข็ง,y
el casco antiguo,ย่านเมืองเก่า,y
el cascote,เศษหินเศษปูน,y
el casero,เจ้าบ้าน นายหน้า,y
el catedrático,อาจารย์ (c),y
el caza,เครื่องบินรบ,y
el cazador,นักล่า,y
el cazo,กระบวย หม้อทรงกระบวย,y
el cazón,ปลาฉลามหนู ปลาฉลามหลังหนาม (en: dogfish),y
el cedro,ต้นสนซีดาร์,y
el cementerio,สุสาน,y
el cenicero,ที่เขี่ยบุหรี่,y
el centenar,จำนวนร้อย (คำนาม),y
el centeno,ข้าวไรย์,y
el cepillo,แปรง (คำนาม),y
el cesto,ตะกร้า,y
el chalazión,กุ้งยิง (เรื้อรัง),y
el chaleco,เสื้อกั๊ก,y
el chaleco salvavidas,เสื้อชูชีพ,y
el chantaje,การแบล็กเมล์,y
el chapapote,ยางมะตอย (c),y
el chaparrón,ฝนห่าใหญ่ (ch),y
el chapista,ช่างเหล็ก ช่างเชื่อมเหล็ก,y
el chaquetero,คนที่เปลี่ยนความคิด งูเห่า,y
el chicle,หมากฝรั่ง,y
el chimo,ขนมปังทางกัสเตโยในงานช่วงมักดาเลนา,y
el chirrido,เสียงลั่นเอี๊ยดอ๊าด,y
el chorro,กระแสไหล สิ่งที่พวยพุ่ง,y
el chubasquero,เสื้อกันฝน (!i),y
el churumbel,เด็ก ทารก (caló),y
el ciberanzuelo,คลิกเบต,y
el ciego,คนตาบอด,y
el cieno,โคลน (!f),y
el cienpiés,ตะขาบ (!e),y
el cierre,การปิด (คำนามของ cerrar),y
el ciervo,กวาง (c),y
el cigarrillo,บุหรี่ (!t),y
el cilantro,ผักชี,y
el cinturón monedero,เข็มขัดที่ใส่เงินได้,y
el circo,โรงละครสัตว์,y
el cirujano,ศัลยแพทย์,y
el clavo,ตะปู,y
el claxon,แตรรถ (c),y
el cloro,คลอรีน,y
el coche de choque,รถบั๊ม,y
el codo,ข้อศอก,y
el cogote,หลังคอ ง่อน (๓),y
el cohete,จรวด,y
el cojín,เบาะ,y
el colador,กระชอน,y
el colgante,สร้อยคอ,y
el colirio,ยาหยอดตา,y
el collage,ภาพปะติด,y
el colmillo,เขี้ยว,y
el comedor,โรงอาหาร (!cf),y
el comentarista,นักวิจารณ์,y
el comodín,ไพ่โจกเกอร์ ไวล์ดการ์ด,y
el complejo,ปมด้อย,y
el comportamiento,พฤติกรรม,y
el compromiso,ข้อผูกมัด,y
el compás,วงเวียน (เครื่องเขียน),y
el concejal,สมาชิกสภาประจำเมือง เทศบาล,y
el confeti,เศษกระดาษสีสัน,y
el confín,ขอบเขต อาณาเขต (!f),y
el congreso de los diputados,สภาผู้แทนราษฎร,y
el constrictor,งูใหญ่,y
el contrafuerte,ส่วนเสาติดผนัง (เช่น ของโบสถ์),y
el convenio,ข้อตกลง สัญญา (!ct),y
el convite,งานเลี้ยง (ในพิธีแต่งงาน),
el copo,เกล็ด เศษ ๆ,y
el corazón (de una carta),(ไพ่) โพธิ์แดง,y
el corcho,จุกคอร์ก,y
el cordón,เชือกรองเท้า,y
el coro,การร้องประสานเสียง,y
el corredor,โถงทางเดิน,y
el cosmonauta,นักบินอวกาศ (!a),y
el cotilleo,การซุบซิบนินทา,y
el coñazo,งานน่าเบื่อ สิ่งที่จำเจน่าเบื่อหน่าย,y
el cruasán,ครัวซองต์,y
el crucero (de la iglesia),บริเวณโถงตรงกลางของโบสถ์ที่เป็นจุดตัด,y
el crucero (vehículo),เรือครูซ,y
el cráneo,กะโหลก (ทางการแพทย์),y
el crío,เด็กเล็ก (c),y
el cubo de basura,ถังขยะ (c),y
el cucharón,ทัพพี,y
el cuchillo,มีด,y
el cucurucho,สรวยไอติม,y
el cuello,คอ,y
el cuello postizo,คอเสื้อ,
el cuenco,ถ้วย (!b!t),y
el cuerno,เขาสัตว์,y
el cuero,หนัง (วัสดุ),y
el cuervo,อีกา,y
el cultivo,การเพาะปลูก (!h),y
el cura,บาทหลวง,y
el cuñado,พี่เขย น้องเขย,y
el cáncer de mama,มะเร็งเต้านม,y
el cáñamo,กัญชง,y
el césped,หญ้า,y
el cómico,ดาราตลก,y
el decano,คณบดี,y
el dedo corazón,นิ้วกลาง,y
el defecto,จุดตำหนิ,y
el delantal,ผ้ากันเปื้อน,y
el delito,อาชญกรรม,y
el depredador,สัตว์ผู้ล่า,y
el derrapo,การดริฟต์ (คำนาม),y
el desafío,ความท้าทาย,y
el desaliño,ความสะเพร่า,y
el desasosiego,ความรู้สึกไม่สบายใจ,
el desatascador,ที่ดูดส้วม,y
el descansillo,ชานพักบันได (!r),y
el desenlace,จุดจบ ผลลัพธ์ การจบลง,y
el desequilibrio comercio,ขาดดุลทางการค้า,y
el desgarro,กล้ามเนื้อฉีก,y
el desierto del Sáhara,ทะเลทรายซาฮารา,y
el desnivel,ทางชัน (d),y
el despacho,สำนักงาน,y
el despilfarro,การใช้อย่างสิ้นเปลือง,y
el despliegue,การติดตั้ง (en: deployment),y
el desprendimiento,ดินถล่ม (!a),y
el destello,ฟ้าแลบ ประกายไฟ ประกายแสง แสงแวบ ๆ,y
el destornillador,ไขควง,y
el desván,ห้องใต้หลังคา (!b),y
el detergente,ผงซักฟอก,y
el detonador,ที่จุดระเบิด,y
el diablito,รถเข็นสองล้อมีหูจับ,y
el diafragma,กะบังลม,y
el diagnóstico,การวินิจฉัยโรค,y
el diamante (de una carta),(ไพ่) ข้าวหลามตัด,y
el difunto,ผู้วายชนม์,y
el dinosaurio,ไดโนเสาร์,y
el discapacitado,ผู้พิการ,y
el disidente,ผู้เห็นต่าง,y
el doblaje,การพากย์เสียง,y
el doble sentido (de circulación),การเดินรถสองทาง (สวนกัน),y
el dolor articular,อาการปวดข้อ,y
el dominio,การควบคุม (d),y
el dorso (de la mano),หลังมือ,y
el duelo,การไว้อาลัย (!l),y
el déficit,การขาดทุน,y
el egorro,ความยาก ความลำบากลำบน,
el ejecutivo,ผู้บริหาร,y
el embalse,เขื่อน,y
el embutido,อาหารตระกูลไส้กรอก,y
el empeine,หลังเท้า,y
el empeoramiento,การแย่ลง,y
el emperador,ปลากระโทงดาบ,y
el empeño,ความมุ่งมั่น,y
el empolón,เนิร์ด,y
el enano,คนแคระ,y
el enfoque,การเข้าใกล้ โดยวิธี (en: approach),y
el engranaje,ฟันเฟือง,y
el ente,เอกลักษณ์ (en: entity),y
el entierro,พิธีฝังศพ (e),y
el entorno,สภาพแวดล้อม (e),y
el entramado,โครงอาคาร,y
el entresuelo,ชั้นลอย,y
el entumecimiento,อาการเหน็บชา,y
el envoltorio,การห่อของขวัญหรือสินค้า,y
el equinoccio de otoño,ศารทวิษุวัต,y
el equinoccio de primavera,วสันตวิษุวัต,y
el escalofrío,อาการร้อน ๆ หนาว ๆ สั่น ๆ,y
el escamol,ไข่มดแดง / ไข่มดส้ม (เม็กซิโก),y
el escaparate,ตู้กระจกติดผนังแสดงสินค้า (ในร้านค้า),y
el escarabajo,แมลงปีกแข็ง ด้วง,y
el escaño,ที่นั่ง,y
el escorpión,แมงป่อง (!a),y
el escudo (herramientas),โล่ห์,y
el escudo (símbolo),ตราแผ่นดิน,y
el escurreplatos,ที่คว่ำจาน,y
el escándalo,เรื่องอื้อฉาว,y
el esguince,ข้อพลิก/แพลง,y
el esmalte,น้ำยาทาเล็บ,y
el esmero,ความพิถีพิถัน ความระมัดระวัง,y
el espantapájaros,หุ่นไล่กา,y
el espejo,กระจก (สะท้อน),y
el esperma,สเปิร์ม,y
el esplendor,ความงดงาม ความเจิดจรัส,
el espía,สายลับ,y
el estacionamiento,ที่จอดรถ (e),y
el estafador,มิจฉาชีพ คนตุ้มตุ๋น,y
el estanco,ร้านขายบุหรี่,y
el estatus,สถานะ,
el estrato,ชั้นหิน ชั้นดิน,y
el estrato calcáreo,ชั้นหินปูน,y
el estrechamiento,ทางแคบ (ทางเบี่ยงให้แคบ),y
el estreñimiento,ท้องผูก,y
el estribillo,ท่อนฮุกของเพลง,y
el estribo,ที่วางเท้าเวลาขี่ม้า,y
el estropajo,ฝอยขัดหม้อ,y
el estuche,กล่องดินสอ กล่องใส่ของ,y
el estímulo,การกระตุ้น,
el esófago,หลอดอาหาร,y
el exitazo,ความสำเร็จอันยิ่งใหญ่,
el expolio,การปล้นสะดม การปล้นโบราณสถาน,y
el exprimidor,เครื่องคั้นน้ำผลไม้,y
el facóquero,หมูป่าแอฟริกา,y
el fajín,แถบพัน (帯),y
el fango,โคลน (!c),y
el farmacéutico,เภสัชกร,y
el faro,ไฟหน้ารถ,y
el farol,โคมไฟ คบไฟ,y
el felpudo,พรมประตู,y
el firmamento,ท้องฟ้า (!c),y
el fiscal,อัยการ,
el flexómetro,ตลับเมตร (!สายวัด),y
el flujo,กระแส (en: stream),y
el fogón,เตา,
el follaje,กองใบไม้ (ที่ร่วง),y
el folleto,ใบปลิว แผ่นพับ,y
el fondo (economía),ทุน,y
el fortín,ป้อมปราการ (f),y
el fracaso,ความผิดพลาด ความล้มเหลว,y
el frasco,ขวดแก้ว,y
el fraude de ley,การเลี่ยงบาลี การอาศัยช่องว่างทางกฎหมาย,y
el fraude electoral,การทุจริตการเลือกตั้ง,y
el fregadero,อ่างล้างจาน,y
el frenazo,(นาม)เบรก,y
el frutero (en cocina),ถ้วยชามผลไม้,y
el fuente (de dinero),แหล่ง ต้นตอ ที่มา แหล่งทุน,y
el funcionario,ข้าราชการ,y
el furgón celular,รถคุมขัง,y
el futurólogo,หมอดู นักวิเคราะห์อนาคต,y
el fósil,ฟอสซิล,y
el galimatías,คำพูดมั่ว ๆ คำพูดที่ไม่มีความหมาย,y
el gamberro,อันธพาล (ในห้องเรียน),y
el ganadero,คนทำปศุสัตว์,y
el gancho,ตะขอ ที่ห้อย (!a),y
el ganso,ห่าน,y
el garaje,โรงรถ,y
el garito,บ่อน รังลับ,y
el gas lacrimógeno,แก๊สน้ำตา,y
el gasto,รายจ่าย (!d),y
el gemelo,ฝาแฝด(แท้),y
el gemelo (del cuerpo),กล้ามเนื้อส่วนน่อง (!p),y
el gerente,ผู้จัดการ,y
el glaseado,ครีมไอซิง,y
el gobernador,ผู้ว่าราชการจังหวัด,y
el gofre,วาฟเฟิล,y
el golpe bajo,ล่วงเกิน,y
el golpe de calor,โรคลมแดด,y
el gorrión,นกกระจอก,y
el gotelé,ผนังบ้านแบบขรุขระ,y
el gozne,บานพับ (!b),y
el granjero,ชาวนา (!c),y
el grano,เม็ด เมล็ด สิว,y
el gremio,กิลด์ สหภาพพนักงาน,y
el grifo,ก๊อกน้ำ,y
el guardabosques,เจ้าหน้าที่กรมป่าไม้ ผู้พิทักษ์ป่า,y
el guardaespaldas,บอดี้การ์ด,y
el guardarraíl,การ์ดเรล ราวเหล็กกันชน,y
el guardarropa,ตู้เสื้อผ้า,
el gueto,สลัม บริเวณที่มีคนอยู่อย่างแออัด,y
el guisante,ถั่วลันเตา,y
el guiso,สตูว์,y
el halcón,เหยี่ยว,y
el hastío,ความน่าเบื่อหน่าย,y
el haz,มัด(ลักษณะนาม) ลำแสง,y
el hazmerreír,สิ่งที่น่าหัวเราะ ตัวตลก,y
el hemisferio,ซีกโลก,y
el heredero,ผู้สืบทอดมรดก,y
el hermanastro,พี่ชายน้องชายต่างพ่อแม่,y
el herpetólogo,ผู้เชี่ยวชาญด้านสัตว์เลื้อยคลาน/งู,y
el hervidero,น้ำพุร้อน น้ำเดือด คึกคัก,y
el hervidor,กาต้มน้ำ,y
el hierro,เหล็ก (!a),y
el hierro forjado,เหล็กอ่อน (เหล็กที่ใช้ทำรั้วระเบียง),y
el higo,ลูกฟิก,y
el hijastro,ลูกติดผู้ชาย,y
el hito,จุดเปลี่ยน จุดหมายสำคัญ,y
el hogar,ที่อยู่อาศัย (!v),y
el hojaldre,พาย,y
el hombro,ไหล่,y
el homenaje,การคารวะ การเคารพ ความเป็นเกียรติ,y
el homínido,สัตว์ตระกูลคน (โฮโม~),y
el hondón,รูรอยด้าย (เข็มเย็บผ้า),y
el hongo,เห็ด เชื้อรา,y
el horario (de reloj),เข็มสั้น,y
el hormigón,ปูน,y
el horno,เตาอบ,y
el hoyo,หลุม (บนพื้น/ไม่ทะลุ),y
"el hoyuelo ",ลักยิ้ม,y
el hoz,เคียว,y
el hueco,หลุม รู ช่องว่าง [ระหว่างชานชาลา],y
el huerto,สวนผักผลไม้ในบ้าน,y
el hueso,กระดูก,y
el huevo frito,ไข่ดาว,y
el huevo revuelto,ไข่คน,y
el huevón,คนขี้เกียจสันหลังยาว คนโง่,y
el huésped,แขก ผู้เข้าพัก,y
el hígado,ตับ,y
el ictus,โรคหลอดเลือดสมอง (en: stroke),y
el impermeable,เสื้อกันฝน (!ch),y
el impuesto sobre la renta,ภาษีเงินได้,y
el imán,แม่เหล็ก,y
el incendio,อัคคีภัย,y
el incisivo,ฟันหน้า,y
el indicio,แนวโน้ม ลาง แวว สัญญาณ,y
el ingreso,รายได้,y
el inmueble,อสังหาริมทรัพย์,y
el inodoro,ส้วม (i),y
el interino,ลูกจ้างชั่วคราว,y
el intermitente,ไฟเลี้ยว,y
el intestino delgado,ลำไส้เล็ก,y
el intestino grueso,ลำไส้ใหญ่,y
el inversor,นักลงทุน,y
el jabalí,หมูป่า,y
el jarabe,น้ำเชื่อม,y
el jarabe de arce,เมเปิลไซรัป,y
el jeroglífico,อักษรภาพ อักษรอียิปต์โบราณ,y
el jirón,ถนน,
el juanete,ตาปลา,y
el juramento,คำสาบาน,y
el juzgado,ศาล (!t),y
el lacrado,ขี้ผึ้ง,y
el ladrido,เสียงเห่า,y
el ladrillo,อิฐ,y
el lagarto,สัตว์เลื้อยคลาน,y
el lago,ทะเลสาบ,y
el lapso,ห้วงเวลา,
el laurel,ใบไม้สำหรับทำมงกุฎผู้ชนะ (ยุคโบราณ),y
el lavavajillas,น้ำยาล้างจาน เครื่องล้างจาน,y
el lazarillo,สุนัขนำทาง (คนตาบอด),y
el lazo,ปม ริบบิน,y
el lecho,เตียงนอน (l),y
el lector,เครื่องอ่าน ตัวอ่าน,y
el legionario,นักรบ กองทหาร,
el león marino,สิงโตทะเล,y
el ligamento,เอ็น,y
el limbo,นรก สถานที่ที่ถูกลืม,
el limpiaparabrisas,ที่ปัดน้ำฝน,y
el lingote,แท่งโลหะ แท่งทอง,y
el lintel,คานทับหลัง คานบนประตู/หน้าต่าง,y
el lirio,ดอกลิลลี่,y
el litoral,ชายฝั่ง (!c),y
el llanto,การร้องไห้,y
el llavero,พวงกุญแจ,y
el lobezno,ลูกหมาป่า,y
el lobo,หมาป่า,y
el locutario,ห้องส่ง (วิทยุ),y
el locutor,ผู้ประกาศข่าว,y
el lomo (de libro),สันหนังสือ,y
el loro,นกแก้ว (!p),y
el lumbago,อาการปวดเอว,y
el lupanar,ซ่อง (!b),y
el luto,การไว้ทุกข์ (!d),y
el lápiz,ดินสอ,y
el límite de velocidad,จำกัดความเร็ว,y
el magistrado,ผู้พิพากษา,y
el magro,เนื้อสะโพก,y
el mamífero,สัตว์เลี้ยงลูกด้วยนม,y
el mando,รีโมท,y
el mango,ด้ามจับ ที่จับ (ของวัตถุ),y
el manicomio,โรงพยาบาลประสาท (ภาษาพูด),y
el manillar,แฮนด์รถจักรยาน,y
el maniquí,หุ่นจำลอง (รูปคน),y
el mantel,ผ้าปูโต๊ะ,y
el mapache,แรคคูน,y
el maracuyá,เสาวรส,y
el marciano,ชาวดาวอังคาร,y
el marco,กรอบรูป,y
el mareo,อาการเวียนหัว เมารถ,y
el marfil,งาช้าง,y
el margen,ช่องไฟ,y
el martillo,ค้อน,y
el matorral,กอไม้ (!พุ่มไม้),y
el maté,เครื่องดื่มละลายน้ำทางละตินอเมริกา,y
el maullido,เสียงร้องเหมียว,y
el mazazo,ระลอกใหญ่ ความเสียหายครั้งใหญ่,y
el mazo,กองไพ่,y
el maíz,ข้าวโพด,y
el megalito,หินยักษ์,y
el mellizo,แฝดเทียม,y
el mendigo,ขอทาน,y
el menhir,หินที่ตั้ง อนุสาวรีย์หินโบราณ,y
el mentón,คาง (!b),y
el mercado laboral,ตลาดแรงงาน,y
el merengue,เมอแร็งก์,y
el mero,ปลากะรัง,y
el meñique,นิ้วก้อย,y
el microorganismo,จุลินทรีย์,y
el milagro,ปาฏิหาริย์,y
el millar,"พัน จำนวนพัน (คำนาม) 1,000",y
el milpiés,กิ้งกือ,y
el minutero,เข็มยาว,y
el mitin,การปราศัย,
el mito,เรื่องโกหก เรื่องหลอกลวง,y
el moco,น้ำมูก,y
el modernismo,ความทันสมัย ความโมเดิร์น,y
el mojón,อุจจาระ,
el molde,แม่พิมพ์,y
el molinillo de café,เครื่องบดเมล็ดกาแฟ,y
el molino,เครื่องโม่,y
el monasterio,วัด อาราม อาคารทางศาสนา (!s),y
el montaje,การประกอบ,y
el montañismo,การปีนเขา,y
el mordisco,การกัด รอยกัด รอยดูด,y
el moretón,รอยฟกช้ำ,y
el mosquitero,มุ้ง,y
el mote,ชื่อเรียก (ชื่อเล่น) (m),y
el moño,มวยผม,y
el mueble zapatero,ชั้นวางรองเท้า,y
el muesli,ซีเรียล (de: das Müsli),y
el mulato,ลูกครึ่งคนผิวดำและขาว,y
el murciélago,ค้างคาว,y
el muro,กำแพงบ้าน,y
el musgo,มอส,y
el muslo,น่อง (ต้นขา) / น่อง (ไก่),y
el muérdago,ต้นกาฝาก มิสเทิลโท,y
el mármol,หินอ่อน,y
el mártir,ผู้ที่ยอมพลีชีพเพื่อความเชื่อ/ศาสนาของตน,y
el nabo,หัวไชเท้า (ขาว),y
el narcotraficante,ผู้ค้ายา (!c),y
el narcotráfico,การค้ายา,y
<div>el naufragio</div>,การอับปาง,y
el neceser,กระเป๋าเก็บเครื่องสำอาง ถุงมีซิปใช้เก็บของ,y
el negro (escritor),นักเขียนในนามของคนอื่น,y
el nerviosismo,อาการวิตกกังวล (n),y
el neumático,ยางรถ,y
el nido,รัง,y
el nieto,หลานชายของปู่ย่าตายาย,y
el nodo,โนด (en: node),y
el nudillo,ข้อนิ้ว,y
el numismático,นักสะสมเหรียญ ที่เกี่ยวกับการสะสมเหรียญ,y
el núcleo,นิวเคลียส,y
el número impar,เลขคี่,y
el número par,เลขคู่,y
el número áureo,อัตราส่วนทองคำ,y
el obispo,บาทหลวง สังฆนายก,y
el ocaso,ยามสนธยา,y
el ocio,สิ่งที่เป็นอดิเรก เวลาว่าง ความบันเทิง การผ่อนคลาย,y
el oculista,จักษุแพทย์,y
el odontólogo,ทันตแพทย์ (!d),y
el oficio,อาชีพ ภาระ งาน บริการ,
el oleaje,เสียงคลื่น,y
el olfato,การรับรู้กลิ่น,y
el ombligo,สะดือ (o),y
el organismo,สิ่งมีชีวิต,y
el orificio,รูเปิด รูเข้า,y
el orzuelo,ตาบวม ตาอักเสบ ตากุ้งยิง,y
el ovario,รังไข่,y
el ovni,UFO,y
el oyente,ผู้ฟัง นักศึกษาซิตอิน,y
el ozono,โอโซน,y
el oído,การได้ยิน,y
el pabellón,อาคารแสดงสินค้า อาคารยิมสนามกีฬา,y
el padrastro,พ่อเลี้ยง (จากแม่แต่งงานใหม่),y
el padrino,พ่อทูลหัว,y
el paisajismo,ภาพวาดทิวทัศน์,y
el paladar,เพดานปาก,y
el palmito,ยอดปาล์ม / ร่างกายที่สวยงาม,y
el paludismo,มาลาเรีย (!m),y
el panadero,คนทำขนมปัง (!b),y
el pancho,พุง (!b),y
el panecillo,ขนมปังก้อน (p) (de: das Brötchen),y
el panqueque,แพนเค้ก,y
el pantallazo,ภาพถ่ายหน้าจอ,y
el pantano,หนองน้ำ (!r),y
el papagayo,นกแก้ว (ตัวใหญ่) (!l),y
el parabrisas,กระจกหน้ารถ,y
el parachoques,กันชน,y
el paradero desconocido,การสูญหายของบุคคล (行方不明),y
el paragüero,ที่ใส่ร่ม ที่วางร่ม,y
el paralelogramo,สี่เหลี่ยมด้านขนาน,y
el pariente,ญาติ (p),y
el parmesano,ชีสพาร์เมซาน,y
el parquímetro,เครื่องวัดที่จอดรถ,y
el parvulario,เนสเซอรี,y
el parón,การหยุดชะงัก,y
el pasamontañas,หมวกไอ้โม่ง,y
el paso a nivel,ทางตัดเสมอระดับ,y
el paso de cebra,ทางม้าลาย,y
el paso elevado,ทางยกระดับ,y
el paso fronterizo,ด่านชายแดน,y
el paso inferior,ทางลอด,y
el pasto,ทุ่งหญ้า ทุ่งเลี้ยงสัตว์,y
el patinaje,การเล่นสเก็ต,y
el patinete,สกูตเตอร์,y
el patio,ชานบ้าน ลานบ้าน,y
el patín,โรลเลอร์สเก็ต (รองเท้า),y
el pavimento,พื้นผิว ผิวถนน,y
el paño,ขนสัตว์,
el peaje,ด่านเก็บค่าทางด่วน,y
el pecado,เรื่องที่ไม่ถูกต้อง,
el pecho,อก,y
el pedante,คนที่ชอบอวดรู้,y
el pedigüeño,คนที่ขี้ขอ,y
el pedo,ผายลม (คำนาม),y
el pegamento,กาว,y
el peine,หวี (คำนาม),y
el peldaño,ขั้น ขั้นบันได,y
el pellizco,การหยิก,y
el peluquín,วิกผม (ของผู้ชาย),y
el pelícano,นกกระทุง,y
el pendiente,ตุ้มหู,y
el percance,อุบัติเหตุ เหตุการณ์,
el perchero,ที่ห้อย (ข้างผนัง),y
el perdigón,ก้อนกลม ๆ ลูกกลม ๆ,y
el perico,นกแก้วเล็ก,y
el periscopio,กล้องส่องของเรือดำน้ำ,y
el perrillo,ไกปืน,y
el perímetro,เส้นรอบรูป (!วงกลม),y
el pescador,ชาวประมง,y
el petardo,ประทัด,y
el petrolero,เรือบรรทุกน้ำมัน,y
el pezón,หัวนม (!t),y
el pibe,เด็ก (ภาษาพูดไม่เป็นทางการ),y
el pico,จงอยปาก,y
el picor,อาการคัน,y
el pilar,แกนหลัก เสาหลัก,y
el pimentón,ผงพริกหยวก,y
el pimiento,พริกหยวก,y
el pincel,พู่กัน,y
el pinchazo,รูรั่ว (ในยางรถ เป็นต้น),y
el pingüino,นกเพนกวิน,y
el pino,ต้นสน,y
el pintalabios,ลิปสติก,y
el pináculo,ยอดอาคาร ยอดแหลมของอาคาร,y
el piojo,เหา,y
el pirata,โจรสลัด,y
el piropo,คำชม (!c),y
el poder ejecutivo,อำนาจบริหาร,y
el poder judicial,อำนาจตุลาการ,y
el poder legislativo,อำนาจนิติบัญญัติ,y
el policía vestido de civil,ตำรวจนอกเครื่องแบบ,y
el politólogo,นักรัฐศาสตร์,y
el polvo,ฝุ่น,y
el polvorón,คุกกี้หยาบ (ชอร์ตเบรด),y
el polígono industrial,เขตอุตสาหกรรม,y
el pomo,ลูกบิดประตู,y
el populacho,มวลชน,y
el porcentaje,ร้อยละ เปอร์เซนต์,y
el porrón,ขวดไวน์แบบมีจงอยสำหรับยกดื่ม,y
el portamaletas,รถเข็นกระเป๋าเดินทาง (ในสนามบิน),y
el portaminas,ดินสอกด,y
el portarrollo,แกนจ่ายทิชชู่,y
el portazo,เสียงกระแทก (เช่น เสียงปิดประตู),y
el portero,พนักงานเปิดประตู,y
el portero automático,แผงออด (ของอพาร์ตเมนต์),y
el prado,สนามหญ้า (๒),y
el preso,นักโทษ,y
el prestigio,ชื่อเสียง เกียรติยศ,y
el presupuesto,ร่างงบประมาณ,y
el pretexto,ข้ออ้าง,y
el primo,ลูกพี่ลูกน้องผู้ชาย,y
el propósito,จุดประสงค์ เป้าหมาย (!o),y
el psicólogo,จิตแพทย์,y
el puesto,ตำแหน่ง (งาน),y
el pulgar,นิ้วโป้ง,y
el pulmón,ปอด,y
el punzón,ที่เจาะรู แท่งเจาะ,y
el pupitre,โต๊ะเรียน,y
el puré,มันบด,y
el puñetazo,การชก,y
el puño,กำปั้น,y
el páncreas,ตับอ่อน,y
"el párpado ",เปลือกตา,y
el párrafo,ย่อหน้า,y
el quehacer,งานเล็ก ๆ,y
el queroseno,น้ำมันก๊าด,y
el queso azul,บลูชีส,y
el queso curado,ชีสดิบ (แบบแข็ง),y
el queso fundido,ชีสแบบละลาย (เช่นในฟองดูว์),y
el queso halloumi,ชีสฮาลูมี,y
el queso tierno,ชีสแบบนุ่ม,y
el quicio,วงกบประตู,y
el quirófano,ห้องผ่าตัด,y
el ramaje,กิ่งก้านสาขา,y
el rascacielos,ตึกระฟ้า,y
el rasgo,บุคลิก ลายเส้น ลักษณะนิสัย,y
el rayo,ฟ้าผ่า (คำนาม),y
el rebelde,กบฏ,y
el rebuzno,เสียงร้องของลา,y
el recibidor,โถงทางเข้า ห้องรับแขก,y
el reciclaje,การรีไซเคิล,y
el recogedor,ที่ตักผง,y
el recorrido,เส้นทาง การเดินทาง,y
el recreo,ช่วงพัก ช่วงเบรก (ในโรงเรียน),y
el referéndum,ประชามติ,y
el refrán,คำพูด ภาษิต คำพังเพย,y
el regadío,การชลประทาน,y
el regocijo,ความสุข ความสนุกสนาน ความเบิกบานยินดี,
el rehén,ตัวประกัน,y
el relato,เรื่องสั้น,y
el relevo,การปลดปล่อย การปลดเปลื้อง การพัก,
el relincho,เสียงร้องของม้า,y
el rellano,ชานพักบันได (!d),y
el reloj de pándulo,นาฬิกาลูกตุ้ม,y
el relámpago,ฟ้าแลบ,y
el remedio,วิธีการรักษา ทางแก้ไข หนทาง ยา,y
el remolcador,เรือลากจูง,y
el renacimiento,เรเนซองส์,y
el rencor,ความแค้น ความเจ็บแค้น,y
el rendimiento,ประสิทธิภาพ (en: performance),y
el renombre,ฉายา ความมีชื่อเสียง,y
el repollo,กะหล่ำปลี,y
el reposapiés,ที่วางเท้า,y
el representante,ตัวแทน,y
el requesón,ชีสริคอตตา,y
el resquicio,รอยแง้มประตู ช่องว่าง,y
el retazo,เศษที่เหลือ เศษเล็กเศษน้อย,y
el reto,โจทย์ปัญหา การท้าทาย (!a),y
el retortijón,ตะคริว (บริเวณท้อง),y
el retrato,ภาพถ่ายบุคคล,y
el retrete,ส้วม (r),y
el retroceso,การถอยกลับ,y
el retrovisor exterior,กระจกข้าง,y
el retrovisor interior,กระจกมองหลัง,y
el riachuelo,ลำห้วย,y
el riego,การรดน้ำต้นไม้,y
el rincón,มุม (หัวมุม),y
el rinoceronte,แรด,y
el riñón,ไต,y
el robellón,เห็ดสน,y
el roble,ต้นโอ๊ก,y
el rocío,น้ำค้าง,y
el ronquido,เสียงกรน,y
el rosetón,หน้าต่างโบสถ์ที่เป็นแฉกวงกลม,y
el rostro,ใบหน้า สีหน้า รูปลักษณ์,y
el rotulador,ปากกาเมจิก,y
el rumiante,สัตว์เคี้ยวเอื้อง,y
el rábano,หัวไชเท้าแดง,y
el régimen,คณะรัฐมนตรี,y
el sacacorchos,ที่เปิดขวดไวน์,y
el sacapuntas,กบเหลาดินสอ,y
el saco,ถุง กระสอบ,y
el safari,ซาฟารี,y
el salpicadero,แผงคอนโซลรถยนต์,y
el saltamontes,ตั๊กแตน,y
el santuario,ปูชนียสถาน สถานที่ศักดิ์สิทธิ์,y
el sapo,คางคก,y
el sauce (árbol),ต้นหลิว,y
el secador,ไดร์เป่าผม,y
el segundero,เข็มวินาที,y
el sello,แสตมป์,y
el semáforo de peatones,สัญญาณไฟคนข้าม,y
el senado,วุฒิสภา,y
el senderismo,ไฮกิง,y
el sendero,ทาง เส้นทาง (s),y
el serrucho,เลื่อย (คำนาม),y
el serrín,ขี้เลื่อย,y
el silbato,หวูด,y
"el sillín ",เบาะ (รถจักรยาน),y
el silo,ฉาง ยุ้งฉาง ที่เก็บผลิตผลทางการเกษตร,y
el sinfín,<b><i><u>(คำนาม)</u></i></b> จำนวนมากมายมหาศาล,y
