中文,ㄅㄆㄇㄈ,泰文,Add Reverse
機會,ㄐㄧㄏㄨㄟˋ,โอกาส,y
機車,ㄐㄧㄔㄜ,รถจักรยานยนต์ (๒),y
檸檬,ㄋㄧㄥˊㄇㄥˊ,มะนาว,y
歐洲,ㄡㄓㄡ,ยุโรป,y
歡迎,ㄏㄨㄢㄧㄥˊ,ต้อนรับ,y
正在,ㄓㄥˋㄗㄞˋ,กำลัง อยู่ในช่วง,y
正好,ㄓㄥˋㄏㄠˇ,พอดี,y
正式,ㄓㄥˋㄕˋ,เป็นทางการ,y
歲,ㄙㄨㄟˋ,ปี (อายุ),y
段,ㄉㄨㄢˋ,ขั้น ส่วน,y
每,ㄇㄟˇ,ทุก ๆ แต่ละ,y
比,ㄅㄧˇ,กว่า,y
比賽,ㄅㄧˇㄙㄞˋ,เกม การแข่งขัน,y
比較,ㄅㄧˇㄐㄧㄠˋ,เทียบกับ กว่า,y
民宿,ㄇㄧㄣˊㄙㄨˋ,โฮมสเตย์,y
氣氛,ㄑㄧˋㄈㄣ,บรรยากาศ,y
水上摩托車,ㄕㄨㄟˇㄕㄤˋㄇㄛˊㄊㄨㄛㄔㄜ,เจ็ตสกี,y
水果,ㄕㄨㄟˇㄍㄨㄛˇ,ผลไม้,y
水餃,ㄕㄨㄟˇㄐㄧㄠˇ,เกี๊ยวต้ม,y
汙染,ㄨㄖㄢˇ,มลพิษ,y
決定,ㄐㄩㄝˊㄉㄨㄥˋ,ตัดสินใจ,y
汽水罐,ㄑㄧˋㄕㄨㄟˇㄍㄨㄢˋ,กระป๋องน้ำอัดลม,y
汽車,ㄑㄧˋㄔㄜ,รถยนต์,y
沒想到,ㄇㄟˊㄒㄧㄤˇㄉㄠˋ,ไม่คาดคิด,y
沙拉,ㄕㄚㄌㄚ,สลัด,y
沙灘,ㄕㄚㄊㄢ,ชายหาด,y
河邊,ㄏㄜˊㄅㄧㄢ,ริมแม่น้ำ,y
油膩,ㄧㄡˊㄋㄧˋ,มัน เลี่ยนน้ำมัน,y
法國,ㄈㄚˇㄍㄨㄛˊ,ฝรั่งเศส,y
法律,ㄈㄚˇㄌㄩˋ,กฎหมาย,y
法文,ㄈㄚˇㄨㄣˊ,ภาษาฝรั่งเศส,y
泡菜,ㄆㄠˋㄘㄞˋ,ผักดอง,y
注意,ㄓㄨˋㄧˋ,ใส่ใจ ระวัง ให้ความสำคัญ,y
洗,ㄒㄧˇ,ล้าง,y
活動,ㄏㄨㄛˊㄉㄨㄥˋ,กิจกรรม,y
流,ㄌㄧㄡˊ,ไหล,y
流利,ㄌㄧㄡˊㄌㄧˋ,คล่องแคล่ว,y
浪漫,ㄌㄤˋㄇㄢˋ,โรแมนติก,y
浴室,ㄩˋㄕˋ,ห้องอาบน้ำ,y
海,ㄏㄞˇ,ทะเล,y
海邊,ㄏㄞˇㄅㄧㄢ,ริมทะเล,y
游泳,ㄧㄡˊㄩㄥˇ,ว่ายน้ำ,y
游泳池,ㄧㄡˊㄩㄥˇㄔˊ,สระว่ายน้ำ,y
湖,ㄏㄨˊ,ทะเลสาบ,y
湯,ㄊㄤ,น้ำซุป,y
準備,ㄓㄨㄣˇㄅㄟˋ,เตรียมตัว เตรียมพร้อม,y
溫泉,ㄨㄣㄑㄩㄢˊ,น้ำพุร้อน,y
滑雪,ㄏㄨㄚˊㄒㄩㄝˇ,เล่นสกี,y
漂亮,ㄆㄧㄠˋㄌㄧㄤˋ,สวย (๒),y
演講,ㄧㄢˇㄐㄧㄤˇ,สุนทรพจน์,y
漢堡,ㄏㄢˋㄅㄠˇ,แฮมเบอร์เกอร์,y
潛水,ㄑㄧㄢˊㄕㄨㄟˇ,ดำน้ำ,y
濕,ㄕ,เปียก,y
火車,ㄏㄨㄛˇㄔㄜ,รถไฟ,y
炸,ㄓㄚˊ,ทอด,y
為了,ㄨㄟˋㄌㄜ˙,เพื่อ เนื่องด้วย,y
烏龍茶,ㄨㄌㄨㄥˊㄔㄚˊ,ชาอูหลง,y
烤,ㄎㄠˇ,ปิ้ง ย่าง,y
然後,ㄖㄢˊㄏㄡˋ,หลังจากนั้น แล้วก็,y
照片,ㄓㄠˋㄆㄧㄢˋ,รูปถ่าย,y
照相,ㄓㄠˋㄒㄧㄤˋ,ถ่ายรูป (๒),y
照相機,ㄓㄠˋㄒㄧㄤˋㄐㄧ,กล้องถ่ายรูป,y
煮,ㄓㄨˇ,ต้ม,y
熱帶,ㄖㄜˋㄉㄞˋ,เขตร้อน,y
熱心,ㄖㄜˋㄒㄧㄣ,กระตือรือร้น,y
熱情,ㄖㄜˋㄑㄧㄥˊ,ความอบอุ่น (จิตใจ),y
熱水器,ㄖㄜˋㄕㄨㄟˇㄑㄧˋ,เครื่องทำน้ำอุ่น,y
熱鬧,ㄖㄜˋㄋㄠˋ,มีชีวิตชีวา,y
營養,ㄧㄥˊㄧㄤˇ,สารอาหาร,y
爬山,ㄆㄚˊㄕㄢ,ไฮกิ้ง ปีนเขา,y
父母,ㄈㄨˋㄇㄨˇ,พ่อแม่,y
爸爸,ㄅㄚˋㄅㄚ˙,พ่อ,y
牛肉,ㄋㄧㄡˊㄖㄡˋ,เนื้อวัว,y
特別,ㄊㄜˋㄅㄧㄝˊ,พิเศษ,y
特色,ㄊㄜˋㄙㄜˋ,ลักษณะเฉพาะ,y
獎學金,ㄐㄧㄤˇㄒㄩㄝˊㄐㄧㄣ,ทุนการศึกษา,y
玩,ㄨㄢˊ,เที่ยวเล่น,y
玻璃,ㄅㄛㄌㄧˊ,แก้ว กระจก,y
班次,ㄅㄢㄘˋ,จำนวนรถ จำนวนขบวน,y
現代,ㄒㄧㄢˋㄉㄞˋ,ยุคใหม่ โมเดิร์น,y
現在,ㄒㄧㄢˋㄗㄞˋ,ตอนนี้,y
環境,ㄏㄨㄢˊㄐㄧㄥˋ,สภาพแวดล้อม,y
瓶子,ㄆㄧㄥˊㄗ˙,ขวด,y
甜,ㄊㄧㄢˊ,หวาน,y
甜點,ㄊㄧㄢˊㄉㄧㄢˇ,ของหวาน,y
生意,ㄕㄥㄧˋ,ธุรกิจ,y
生日,ㄕㄥㄖˋ,วันเกิด,y
生活,ㄕㄥㄏㄨㄛˊ,ชีวิต การใช้ชีวิต,y
生活費,ㄕㄥㄏㄨㄛˊㄈㄟˋ,ค่าครองชีพ,y
生病,ㄕㄥㄅㄧㄥˋ,ป่วย,y
畢業,ㄅㄧˋㄧㄝˋ,สำเร็จการศึกษา,y
當,ㄉㄤ,ทำหน้าที่ เป็นในฐานะ,y
當然,ㄉㄤㄖㄢˊ,แน่นอน ใช่เลย แน่นอนอยู่แล้ว,y
痛,ㄊㄨㄥˋ,เจ็บ,y
瘦,ㄕㄡˋ,ผอม,y
發炎,ㄈㄚㄧㄢˊ,อักเสบ,y
發燒,ㄈㄚㄕㄠ,เป็นไข้,y
發現,ㄈㄚㄒㄧㄢˋ,ค้นพบ,y
白,ㄅㄞˊ,สีขาว,y
白天,ㄅㄞˊㄊㄧㄢ,ตอนกลางวัน ตอนแจ้ง,y
百年好合,ㄅㄞˇㄋㄧㄢˊㄏㄠˇㄏㄜˊ,ถือไม้เท้ายอดทอง กระบองยอดเพชร,y
百貨公司,ㄅㄞˇㄏㄨㄛˋㄍㄨㄥㄙ,ห้างสรรพสินค้า,y
皮,ㄆㄧˊ,ผิวหนัง เปลือก,y
皮包,ㄆㄧˊㄅㄠ,กระเป๋าหนัง กระเป๋าเงิน,y
直接,ㄓˊㄐㄧㄝ,โดยตรง,y
相當,ㄒㄧㄤㄉㄤ,พอสมควร พอตัว,y
看不出來,ㄎㄢˋㄅㄨˋㄔㄨ ㄌㄞˊ,ดูไม่ออก,y
看書,ㄎㄢˋㄕㄨ,อ่านหนังสือ,y
看病,ㄎㄢˋㄅㄧㄥˋ,ไปหาหมอ,y
看見,ㄎㄢˋㄐㄧㄢˋ,มองดู เจอ เห็น (๒),y
真,ㄓㄣ,จริง ๆ,y
睡覺,ㄕㄨㄟˋㄐㄧㄠˋ,นอนหลับ,y
知道,ㄓㄉㄠˋ,รู้,y
矮,ㄞˇ,เตี้ย,y
破,ㄆㄛˋ,แตก หัก,y
碗,ㄨㄢˇ,ถ้วย,y
社團,ㄕㄜˋㄊㄨㄢˊ,ชมรม สมาคม,y
祝,ㄓㄨˋ,ขอ อวยพร,y
祝福,ㄓㄨˋㄈㄨˊ,ให้พร อวยพรให้,y
票,ㄆㄧㄠˋ,ตั๋ว,y
禮拜,ㄌㄧˇㄅㄞˋ,สัปดาห์ (ไต้หวัน),y
禮服,ㄌㄧˇㄈㄨˊ,ชุดราตรี,y
禮物,ㄌㄧˇㄨˋ,ของขวัญ,y
秋天,ㄑㄧㄡㄊㄧㄢ,ฤดูใบไม้ร่วง,y
租,ㄗㄨ,เช่า,y
種,ㄓㄨㄥˇ,ชนิด,y
空,ㄎㄨㄥ,ว่าง,y
穿,ㄔㄨㄢ,สวมใส่,y
窗戶,ㄔㄨㄤㄏㄨˋ,หน้าต่าง,y
站,ㄓㄢˋ,สถานี ยืน,y
笑,ㄒㄧㄠˋ,หัวเราะ,y
筆,ㄅㄧˇ,ปากกา,y
等,ㄉㄥˇ,รอ,y
等一下,ㄉㄥˇㄧˊㄒㄧㄚˋ,อีกเดี๋ยว ภายหลัง,y
答應,ㄉㄚㄧㄥˋ,ยอมรับ,y
筷子,ㄎㄨㄞˋㄗ˙,ตะเกียบ,y
算,ㄙㄨㄢˋ,คำนวณ คิดคำนวณ,y
簡單,ㄐㄧㄢˇㄉㄢ,ง่ายดาย,y
籃球,ㄌㄢˊㄑㄧㄡˊ,บาสเกตบอล,y
精神,ㄐㄧㄥㄕㄣˊ,จิตใจ,y
糖,ㄊㄤˊ,น้ำตาล ลูกอม ของหวาน,y
約,ㄩㄝ,ชวน (!ㄑ),y
紅包,ㄏㄨㄥˊㄅㄠ,อั่งเปา,y
紅綠燈,ㄏㄨㄥˊㄌㄩˋㄉㄥ,สัญญาณไฟจราจร,y
紅色,ㄏㄨㄥˊㄙㄜˋ,สีแดง,y
紅葉,ㄏㄨㄥˊㄧㄝˋ,ใบไม้แดง,y
紐約,ㄋㄧㄡˇㄩㄝ,นิวยอร์ก,y
紙,ㄓˇ,กระดาษ,y
紙杯,ㄓˇㄅㄟ,ถ้วยกระดาษ,y
素食,ㄙㄨˋㄕˊ,อาหารเจ,y
累,ㄌㄟˋ,เหนื่อย,y
終於,ㄓㄨㄥㄩˊ,ในที่สุด ท้ายที่สุด,y
結婚,ㄐㄧㄝˊㄏㄨㄣ,แต่งงาน,y
結束,ㄐㄧㄝˊㄕㄨˋ,ทำเสร็จ,y
給,ㄍㄟˇ,ให้,y
經過,ㄐㄧㄥㄍㄨㄛˋ,เดินทางข้าม เดินทางผ่าน,y
經驗,ㄐㄧㄥㄧㄢˋ,ประสบการณ์,y
網球,ㄨㄤˇㄑㄧㄡˊ,เทนนิส,y
網站,ㄨㄤˇㄓㄢˋ,เว็บไซต์,y
網路上,ㄨㄤˇㄌㄨˋㄕㄤˋ,บนอินเทอร์เน็ต,y
練習,ㄌㄧㄢˋㄒㄧˊ,ฝึกฝน ฝึกหัด,y
總匯,ㄗㄨㄥˇㄏㄨㄟˋ,คลับแซนด์วิช,y
總是,ㄗㄨㄥˇㄕˋ,ตลอดเวลา เสมอ ๆ,y
美,ㄇㄟˇ,สวยงาม (๑),y
習慣,ㄒㄧˊㄍㄨㄢˋ,ทำความคุ้นชิน เคยชิน,y
老,ㄌㄠˇ,แก่,y
老闆,ㄌㄠˇㄅㄢˇ,เจ้าของร้าน เถ้าแก่,y
考慮,ㄎㄠˇㄌㄩˋ,คิดพิจารณา,y
考試,ㄎㄠˇㄕˋ,การสอบ,y
而且,ㄦˊㄑㄧㄝˇ,ก็ด้วย เช่นกัน,
聊天,ㄌㄧㄠˊㄊㄧㄢ,คุยเล่น,y
聲音,ㄕㄥㄧㄣ,เสียง,y
聽,ㄊㄧㄥ,ฟัง,y
聽寫,ㄊㄧㄥㄒㄧㄝˇ,การเขียนตามคำบอก,y
聽見,ㄊㄧㄥㄐㄧㄢˋ,ได้ยิน,y
聽起來,ㄊㄧㄥㄑㄧˇㄌㄞˊ,ฟังเหมือน,y
肉,ㄖㄡˋ,เนื้อ,y
肚子,ㄉㄨˋㄗ˙,ท้อง,y
胃口,ㄨㄟˋㄎㄡˇ,ความอยากอาหาร,y
背包,ㄅㄟㄉㄠ,กระเป๋าสะพาย,y
胖,ㄆㄤˋ,อ้วน,y
脫,ㄊㄨㄛ,ถอด,y
腳踏車,ㄐㄧㄠˇㄊㄚˋㄔㄜ,รถจักรยาน (!ㄗ),y
腿,ㄊㄨㄟˇ,ขา,y
臉色,ㄌㄧㄢˇㄙㄜˋ,สีหน้า อาการ,y
自己,ㄗˋㄐㄧˇ,ด้วยตัวเอง,y
自行車,ㄗˋㄒㄧㄥˊㄔㄜ,รถจักรยาน (!ㄐ),y
臭豆腐,ㄔㄡˋㄉㄡˋㄈㄨˇ,เต้าหู้เหม็น,y
興趣,ㄒㄧㄥˋㄑㄩˋ,ความสนใจ,y
舊,ㄐㄧㄡˋ,เก่า,y
舒服,ㄕㄨㄈㄨˊ,สบาย สะดวก (อยู่แล้ว)รู้สึกสบาย,y
船,ㄔㄨㄢˊ,เรือ,y
芒果,ㄇㄤˊㄍㄨㄛˇ,มะม่วง,y
花（動詞）,ㄏㄨㄚ,ใช้จ่าย ใช้เวลา,y
英文,ㄧㄥ ㄨㄣˊ,ภาษาอังกฤษ,y
茶館,ㄔㄚˊㄍㄨㄢˇ,โรงน้ำชา,y
華僑,ㄏㄨㄚˊㄑㄧㄠˊ,คนจีนที่อยู่ต่างประเทศ,y
萬,ㄨㄢˋ,หมื่น,y
蒸,ㄓㄥ,นึ่ง,y
蔥抓餅,ㄘㄨㄥㄓㄨㄚㄅㄧㄥˇ,แพนเค้กไต้หวัน,y
蔥軋餅,ㄘㄨㄥㄧㄚˋㄅㄧㄥˇ,นูกัตแครกเกอร์,y
薪水,ㄒㄧㄣ ㄕㄨㄟˇ,การจ่าย รายการจ่าย ค่าจ้าง,y
薯條,ㄕㄨˇㄊㄧㄠˊ,เฟรนช์ฟรายส์,y
藍色,ㄌㄢˊㄙㄜˋ,สีน้ำเงิน,y
藥,ㄧㄠˋ,ยา,y
藥局,ㄧㄠˋㄐㄩˊ,ร้านขายยา,y
蚵子,ㄜˊㄗ˙,หอยนางรม,y
蛋,ㄉㄢˋ,ไข่,y
蛋糕,ㄉㄢˋㄍㄠ,เค้ก,y
蝦仁,ㄒㄧㄚㄖㄣˊ,กุ้ง,y
街,ㄐㄧㄝ,ถนน ย่าน เขต,y
衛生,ㄨㄟˋㄕㄥ,อนามัย,y
衣服,ㄧㄈㄨˊ,เสื้อผ้า,y
表親,ㄅㄧㄠˇㄑㄧㄣ,ลูกพี่ลูกน้อง,y
袋子,ㄉㄞˋㄗ˙,ถุง ถุงผ้า,y
被,ㄅㄟˋ,โดน ถูก,y
裝,ㄓㄨㄤ,ติดตั้ง,y
裡面,ㄌㄧˇㄇㄧㄢˋ,ด้านใน,y
複雜,ㄈㄨˋㄗㄚˊ,ซับซ้อน,y
西班牙,ㄒㄧㄅㄢㄧㄚˊ,สเปน,y
西班牙語,ㄒㄧ ㄅㄢ ㄧㄚˊㄩˇ,ภาษาสเปน,y
西瓜,ㄒㄧㄍㄨㄚ,แตงโม,y
西裝,ㄒㄧㄓㄨㄤ,ชุดสูท,y
要不然,ㄧㄠˋㄅㄨˋㄖㄢˊ,ไม่งั้น ในอีกทางหนึ่ง,y
要是,ㄧㄠˋㄕˋ,ถ้า,y
見面,ㄐㄧㄢˋㄇㄧㄢˋ,พบเจอหน้า,y
規定,ㄍㄨㄟㄉㄧㄥˋ,กฎเกณฑ์,y
親戚,ㄑㄧㄣㄑㄧ,ญาติ,y
覺得,ㄐㄩㄝˊㄉㄜ˙,รู้สึก คิด,y
觀光客,ㄍㄨㄢㄍㄨㄤㄎㄜˋ,นักท่องเที่ยว,y
訂,ㄉㄧㄥˋ,สั่งจอง,y
計畫,ㄐㄧˋㄏㄨㄚˋ,วางแผนการ (!ㄉ),y
計程車,ㄐㄧˋㄔㄥˊㄔㄜ,รถแท็กซี่,y
訊息,ㄒㄩㄣˋㄒㄧˊ,ข้อมูล ข่าว เนื้อหาข้อความ,y
討厭,ㄊㄠˇㄧㄢˋ,น่ารำคาญ น่าหงุดหงิด ไม่ชอบ,y
討論,ㄊㄠˇㄌㄨㄣˋ,ถกเถียง สนทนา,y
記得,ㄐㄧˋㄉㄜ˙,จำ,y
試,ㄕˋ,ลอง,y
認識,ㄖㄣˋㄕˋ,รู้จัก,y
語言,ㄩˇㄧㄢˊ,ภาษา,y
語言學,ㄩˇㄧㄢˊㄒㄩㄝˊ,ภาษาศาสตร์,y
說明,ㄕㄨㄛ ㄇㄧㄥˊ,อธิบาย,y
說話,ㄕㄨㄛㄏㄨㄚˋ,พูด สื่อสาร,y
誰,ㄕㄟˊ,ใคร,y
課,ㄎㄜˋ,ชั้นเรียน,y
調味料,ㄊㄧㄠˊㄨㄟˋㄌㄧㄠˋ,เครื่องปรุง,y
談,ㄊㄢˊ,เล่าเรื่อง สนทนา ถก,y
請客,ㄑㄧㄥˇㄎㄜˋ,เลี้ยงต้อนรับแขก,y
變,ㄅㄧㄢˋ,กลายเป็น,y
讓,ㄖㄤˋ,ให้(ทำ),y
豆腐,ㄉㄡˋㄈㄨˇ,เต้าหู้,y
豬腳,ㄓㄨㄐㄧㄠˇ,ขาหมู,y
貓熊,ㄇㄠㄒㄩㄥˊ,แพนด้า,y
貴,ㄍㄨㄟˋ,แพง,y
買,ㄇㄞˇ,ซื้อ,y
買得起,ㄇㄞˇㄉㄜ˙ㄑㄧˇ,ที่ซื้อได้,y
資料,ㄗㄌㄧㄠˋ,ข้อมูล แหล่งข้อมูล ทรัพยากรวัตถุดิบ,y
資源,ㄗㄩㄢˊ,ทรัพยากร วัตถุดิบ,y
賣,ㄇㄞˋ,ขาย,y
走不了路,ㄗㄡˇㄅㄨˋㄌㄧㄠˇㄌㄨˋ,ก้าวขาไม่ออก,y
走路,ㄗㄡˇㄌㄨˋ,เดิน,y
走過去,ㄗㄡˇㄍㄨㄛˋㄑㄩˋ,เดินไปหา,y
趁,ㄔㄣˋ,รวด ใช้จังหวะนี้ ใช้โอกาสนี้ (๑),y
超商,ㄔㄠㄕㄤ,ร้านสะดวกซื้อ (๒),y
超市,ㄔㄠㄕˋ,ซุปเปอร์มาร์เก็ต,y
越,ㄩㄝˋ,ยิ่ง…,y
越南,ㄩㄝˋㄋㄢˊ,เวียดนาม,y
趕快,ㄍㄢˇㄎㄨㄞˋ,ทันที อย่างเร่งด่วน,y
趟,ㄊㄤˋ,รอบ เที่ยว ครั้ง ลักษณนามของการเดินทาง,y
足球,ㄗㄨˊㄑㄧㄡˊ,ฟุตบอล,y
跑,ㄆㄠˇ,วิ่ง,y
路上,ㄌㄨˋㄕㄤˋ,บนถนน,y
路人,ㄌㄨˋㄖㄣˊ,คนเดินเท้า ชาวบ้าน บางคน,y
路口,ㄌㄨˋㄎㄡˇ,ทางแยก,y
路線,ㄌㄨˋㄒㄧㄢˋ,เส้นทางเดินรถ,y
踢,ㄊㄧ,เตะ,y
身體,ㄕㄣㄊㄧˇ,ร่างกาย,y
躺,ㄊㄤˇ,นอน นอนลง,y
車票,ㄔㄜㄆㄧㄠˋ,บัตรโดยสาร,y
車站,ㄔㄜㄓㄢˋ,สถานีรถโดยสาร,y
載,ㄗㄞˋ,พาไป (ขับรถไปส่ง),y
輕,ㄑㄧㄥ,เบา นิ่มนวล บอบบาง,y
輕鬆,ㄑㄧㄥㄙㄨㄥ,อย่างง่ายดาย,y
輛,ㄌㄧㄤˋ,คัน (ลักษณนามของรถ),y
轉機,ㄓㄨㄢˇㄐㄧ,เปลี่ยนเครื่อง(บิน),y
辣,ㄌㄚˋ,เผ็ด,y
辣椒,ㄌㄚˋㄐㄧㄠ,พริก,y
辦公室,ㄅㄢˋㄍㄨㄥ ㄕˋ,ออฟฟิศ สำนักงาน,y
近,ㄐㄧㄣˋ,ใกล้,y
迷路,ㄇㄧˊㄌㄨˋ,หลงทาง,y
追,ㄓㄨㄟ,วิ่งตาม วิ่งไล่,y
送,ㄙㄨㄥˋ,ส่ง ให้,y
這些,ㄓㄜˋㄒㄧㄝ,สิ่งเหล่านี้,y
這裡,ㄓㄜˋㄌㄧˇ,ที่นี่,y
逛,ㄍㄨㄤˋ,ดูไปรอบ ๆ เดินเล่น,y
速食,ㄙㄨˋㄕˊ,ฟาสต์ฟูด,y
速食麵,ㄙㄨˋㄕˊㄇㄧㄢˋ,บะหมี่กึ่งสำเร็จรูป,y
週末,ㄓㄡㄇㄛˋ,สุดสัปดาห์ เสาร์อาทิตย์,y
進步,ㄐㄧㄣˋㄅㄨˋ,พัฒนา ก้าวหน้า,y
運動,ㄩㄣˋㄉㄨㄥˋ,ออกกำลังกาย,y
運氣,ㄩㄣˋㄑㄧˋ,โชค,y
遍,ㄅㄧㄢˋ,ครั้ง รอบ ของกิจกรรม,y
過,ㄍㄨㄛˋ,ผ่าน ข้าม,y
適合,ㄕˋㄏㄜˊ,เหมาะสมกับ,y
選,ㄒㄩㄢˇ,เลือก,y
還,ㄏㄞˊ,ยัง,y
還好,ㄏㄞˊㄏㄠˇ,โชคดีที่ อย่างโชคดี,y
那裡,ㄋㄚˋㄌㄧˇ,ที่นั่น,y
郵局,ㄧㄡˊㄐㄩˊ,ที่ทำการไปรษณีย์,y
鄉下,ㄒㄧㄤㄒㄧㄚˋ,ชนบท บ้านนอก,y
酸,ㄙㄨㄢ,เปรี้ยว,y
醫生,ㄧㄕㄥ,แพทย์,y
重要,ㄓㄨㄥˋㄧㄠˋ,สำคัญ,y
銀行,ㄧㄣˊㄏㄤˊ,ธนาคาร,y
錢包,ㄑㄧㄢˊㄅㄠ,กระเป๋าสตางค์ กระเป๋าเงิน,y
錯,ㄘㄨㄛˋ,ทำผิด ทำไม่ถูก,y
鍋子,ㄍㄨㄛㄗ˙,หม้อ กระทะ,y
鎮,ㄓㄣˋ,เมืองชนบท,y
鐘頭,ㄓㄨㄥㄊㄡˊ,ชั่วโมง (!ㄒ),y
鐘點費,ㄓㄨㄥ ㄉㄧㄢˇㄈㄟˋ,ค่าจ้างรายชั่วโมง,y
長,ㄔㄤˊ,ยาว,y
門,ㄇㄣˊ,ประตู (๑),y
門口,ㄇㄣˊㄎㄡˇ,ประตู ทางเข้า,y
開,ㄎㄞ,เปิด,y
開始,ㄎㄞㄕˇ,เริ่มต้น,y
開心,ㄎㄞㄒㄧㄣ,มีความสุข (อารมณ์),y
開過來,ㄎㄞㄍㄨㄛˋㄌㄞˊ,ขับรถมาหา ขับรถผ่านมา,y
間,ㄐㄧㄢ,(ลักษณนาม) (บ้าน) หลัง ห้อง,y
關,ㄍㄨㄢ,ปิด ปิดกั้น,y
關係,ㄍㄨㄢㄒㄧ˙,ความสัมพันธ์,y
關心,ㄍㄨㄢㄒㄧㄣ,เป็นกังวล,y
附近,ㄈㄨˋㄐㄧㄣˋ,ใกล้ ๆ ละแวก,y
除了,ㄔㄨˊㄌㄜ˙,นอกจาก,y
陪,ㄆㄟˊ,อยู่เป็นเพื่อน ไปด้วย,y
隨身碟,ㄙㄨㄟˊㄕㄣㄉㄧㄝˊ,แฮนดีไดร์ฟ,y
雖然,ㄙㄨㄟㄖㄢˊ,แม้ว่า,y
離,ㄌㄧˊ,ห่างจาก,y
離開,ㄌㄧˊㄎㄞ,ออกเดินทาง จากไป,y
難,ㄋㄢˊ,ยาก,y
難看,ㄋㄢˊㄎㄢˋ,ดูไม่ดี อาการไม่ดี,y
雨,ㄩˇ,ฝน,y
電影,ㄉㄧㄢˋㄧㄥˇ,ภาพยนตร์ (!ㄧ),y
電腦,ㄉㄧㄢˋㄋㄠˇ,คอมพิวเตอร์,y
電視,ㄉㄧㄢˋㄕˋ,โทรทัศน์,y
電話,ㄉㄧㄢˋㄏㄨㄚˋ,โทรศัพท์,y
需要,ㄒㄩㄧㄠˋ,ต้องการ,y
青菜,ㄑㄧㄥㄘㄞˋ,ผัก,y
面談,ㄇㄧㄢˋㄊㄢˊ,สัมภาษณ์,y
鞋,ㄒㄧㄝˊ,รองเท้า,y
韓國,ㄏㄢˊㄍㄨㄛˊ,ประเทศเกาหลี,y
音樂,ㄧㄣㄩㄝˋ,ดนตรี,y
順便,ㄕㄨㄣˋㄅㄧㄢˋ,รวด (๒),y
順利,ㄕㄨㄣˋㄌㄧˋ,ผ่านไปได้ อย่างลื่นไหล,y
預約,ㄩˋㄩㄝ,การจอง,y
頭,ㄊㄡˊ,หัว,y
顏色,ㄧㄢˊㄙㄜˋ,สี,y
願意,ㄩㄢˋㄧˋ,ตั้งใจจะ,t
風,ㄈㄥ,ลม,y
風景,ㄈㄥㄐㄧㄥˇ,วิว ทิวทัศน์,y
風景區,ㄈㄥㄐㄧㄥˇㄑㄩ,จุดชมวิว แหล่งท่องเที่ยวธรรมชาติ,y
颱風,ㄊㄞˊㄈㄥ,พายุไต้ฝุ่น,y
飛機,ㄈㄟㄐㄧ,เครื่องบิน,y
食物,ㄕˊㄨˋ,ของกิน,y
飯廳,ㄈㄢˋㄊㄧㄥ,ห้องรับประทานอาหาร,y
飲料,ㄧㄣˇㄌㄧㄠˋ,เครื่องดื่ม,y
飽,ㄅㄠˇ,อิ่ม,Y
餃子,ㄐㄧㄠˇㄗ˙,เกี๊ยว,y
餐,ㄘㄢ,มื้อ (ลักษณนาม),y
餐廳,ㄘㄢㄊㄧㄥ,ร้านอาหาร,y
餓,ㄜˋ,หิว,y
餡兒,ㄒㄧㄢˋㄦˊ,ไส้ สอดไส้,y
首爾,ㄕㄡˇㄦˇ,กรุงโซล,y
香,ㄒㄧㄤ,กลิ่นหอม,y
馬上,ㄇㄚˇㄕㄤˋ,โดยทันทีทันใด,y
馬路,ㄇㄚˇㄌㄨˋ,ถนน,y
馬鈴薯,ㄇㄚˇㄌㄧㄥˊㄕㄨˇ,มันฝรั่ง,y
騎,ㄑㄧˊ,ขี่,y
體力,ㄊㄧˇㄌㄧˋ,พลกำลัง,y
體育館,ㄊㄧˇㄩˋㄍㄨㄢˇ,โรงยิม,y
高,ㄍㄠ,สูง,y
高興,ㄍㄠㄒㄧㄥˋ,ยินดี,y
高鐵,ㄍㄠㄊㄧㄝˇ,รถไฟความเร็วสูง,y
魚,ㄩˊ,ปลา,y
鳳梨,ㄈㄥˋㄌㄧˊ,สับปะรด,y
鳳梨酥,ㄈㄥˋㄌㄧˊㄙㄨ,เค้กสับปะรด,y
鹹,ㄒㄧㄢˊ,เค็ม,y
鹽,ㄧㄢˊ,เกลือ,y
麥當勞,ㄇㄞˋㄉㄤㄌㄠˊ,แมกโดนัลด์,y
麵,ㄇㄧㄢˋ,บะหมี่,y
麵包,ㄇㄧㄢˋㄅㄠ,ขนมปัง,y
麻煩,ㄇㄚˊㄈㄢˊ,ยุ่งยาก เป็นปัญหา,y
黃昏,ㄏㄨㄤˊㄏㄨㄣ,พลบค่ำ ยามเย็น ตอนโพล้เพล้,y
黃色,ㄏㄨㄤˊㄙㄜˋ,สีเหลือง,y
點,ㄉㄧㄢˇ,โมง จุด,y
點（動詞）,ㄉㄧㄢˇ,สั่ง,y
鼻水,ㄅㄧˊㄕㄨㄟˇ,น้ำมูก,y
